estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
RJ,2020-06-08,69499,1743,6781,74,2138.4285714285716,188.42857142857142,0.05267358339984032,4.841978555703691
RJ,2020-06-09,72979,3480,6928,147,2321.0,177.42857142857142,-0.031201248049922043,4.863197908118005
RJ,2020-06-10,74373,1394,7138,210,2161.8571428571427,161.14285714285714,-0.17543859649122803,4.8714153000725045
RJ,2020-06-11,75775,1402,7363,225,2120.4285714285716,148.0,-0.2825484764542936,4.87952594503966
RJ,2020-06-12,77784,2009,7417,54,2102.5714285714284,134.85714285714286,-0.3361462728551336,4.890890272743816
RJ,2020-06-13,78836,1052,7592,175,2043.2857142857142,136.14285714285714,-0.30539358600583094,4.8967245808281366
RJ,2020-06-14,79572,736,7672,80,1688.0,137.85714285714286,-0.2857142857142857,4.900760273959634
RJ,2020-06-15,80946,1374,7728,56,1635.2857142857142,135.28571428571428,-0.30213706705969057,4.908195392671248
RJ,2020-06-16,83343,2397,7967,239,1480.5714285714287,148.42857142857142,-0.21584905660377363,4.920869129190569
RJ,2020-06-17,86963,3620,8138,171,1798.5714285714287,142.85714285714286,-0.28825622775800713,4.939334513380128
RJ,2020-06-18,87317,354,8412,274,1648.857142857143,149.85714285714286,-0.2868796736913664,4.941098805990063
RJ,2020-06-19,93378,6061,8595,183,2227.714285714286,168.28571428571428,-0.15494978479196558,4.970244567835678
RJ,2020-06-20,95537,2159,8824,229,2385.8571428571427,176.0,-0.09544787077826732,4.980171599686484
RJ,2020-06-21,96133,596,8875,51,2365.8571428571427,171.85714285714286,-0.1173881144534116,4.982872495449661
RJ,2020-06-22,97572,1439,8933,58,2375.1428571428573,172.14285714285714,-0.08642911296436691,4.989325207112138
RJ,2020-06-23,100869,3297,9153,220,2503.714285714286,169.42857142857142,-0.04508856682769727,5.003757715319823
RJ,2020-06-24,103493,2624,9295,142,2361.4285714285716,165.28571428571428,0.025709219858156003,5.014910976225961
RJ,2020-06-25,105897,2404,9450,155,2654.285714285714,148.28571428571428,0.0019305019305018757,5.024883656973391
RJ,2020-06-26,108497,2600,9587,137,2159.8571428571427,141.71428571428572,0.050847457627118675,5.035417729876177
RJ,2020-06-27,108803,306,9789,202,1895.142857142857,137.85714285714286,0.012591815320042032,5.036640870228737
RJ,2020-06-28,111298,2495,9819,30,2166.4285714285716,134.85714285714286,-0.021761658031088083,5.046487360230774
RJ,2020-06-29,111883,585,9848,29,2044.4285714285713,130.71428571428572,-0.03379091869060178,5.048764102908446
RJ,2020-06-30,112611,728,10080,232,1677.4285714285713,132.42857142857142,-0.10779595765158807,5.051580815079889
RJ,2020-07-01,115278,2667,10198,118,1683.5714285714287,129.0,-0.09700000000000003,5.061746433138181
RJ,2020-07-02,116823,1545,10332,134,1560.857142857143,126.0,-0.1591992373689228,5.067528354674748
RJ,2020-07-03,118956,2133,10500,168,1494.142857142857,130.42857142857142,-0.2249575551782683,5.07538635222595
RJ,2020-07-04,120440,1484,10624,124,1662.4285714285713,119.28571428571429,-0.3222402597402597,5.080770746840722
RJ,2020-07-05,121292,852,10667,43,1427.7142857142858,121.14285714285714,-0.2950955943474647,5.0838321572521386
RJ,2020-07-06,121879,587,10698,31,1428.0,121.42857142857143,-0.29460580912863066,5.085928882240301
RJ,2020-07-07,124086,2207,10881,183,1639.2857142857142,114.42857142857143,-0.3246205733558178,5.093722784998096
RJ,2020-07-08,126329,2243,10970,89,1578.7142857142858,110.28571428571429,-0.33275713050993944,5.101503058348423
RJ,2020-07-09,128324,1995,11115,145,1643.0,111.85714285714286,-0.245664739884393,5.108307888587006
RJ,2020-07-10,129443,1119,11280,165,1498.142857142857,111.42857142857143,-0.21370967741935487,5.112078569691155
RJ,2020-07-11,129675,232,11406,126,1319.2857142857142,111.71428571428571,-0.18963730569948192,5.112856256665623
RJ,2020-07-12,129684,9,11415,9,1198.857142857143,106.85714285714286,-0.2076271186440678,5.112886397515477
RJ,2020-07-13,132044,2360,11474,59,1452.142857142857,110.85714285714286,-0.15191256830601096,5.12071867191104
RJ,2020-07-14,132822,778,11624,150,1248.0,106.14285714285714,-0.1984897518878101,5.1232700154482576
RJ,2020-07-15,134449,1627,11757,133,1160.0,112.42857142857143,-0.12846068660022147,5.128557576391251
RJ,2020-07-16,134573,124,11849,92,892.7142857142857,104.85714285714286,-0.16780045351473918,5.128957934128311
RJ,2020-07-17,135230,657,11919,70,826.7142857142857,91.28571428571429,-0.30010952902519156,5.131073048034346
RJ,2020-07-18,135230,0,11919,0,793.5714285714286,73.28571428571429,-0.38562874251497004,5.131073048034346
RJ,2020-07-19,138524,3294,12114,195,1262.857142857143,99.85714285714286,-0.17570754716981127,5.141525023686303
RJ,2020-07-20,141005,2481,12161,47,1280.142857142857,98.14285714285714,-0.19176470588235298,5.1492345128958705
RJ,2020-07-21,145121,4116,12293,132,1757.0,95.57142857142857,-0.16479400749063675,5.161730262363385
RJ,2020-07-22,148623,3502,12443,150,2024.857142857143,98.0,-0.11139896373057,5.172086023422826
RJ,2020-07-23,151549,2926,12535,92,2425.1428571428573,98.0,-0.12388250319284805,5.180553075009714
RJ,2020-07-24,154879,3330,12654,119,2807.0,105.0,-0.05769230769230771,5.189992535884489
RJ,2020-07-25,156293,1414,12808,154,3009.0,127.0,0.13682864450127882,5.193939527414894
RJ,2020-07-26,156325,32,12835,27,2543.0,103.0,-0.03609625668449201,5.194028437352706
RJ,2020-07-27,157834,1509,12876,41,2404.1428571428573,102.14285714285714,-0.07860824742268048,5.198200563016947
RJ,2020-07-28,159639,1805,13033,157,2074.0,105.71428571428571,-0.004037685060565295,5.203138998641915
GO,2020-02-25,0,0,0,0,,,,0.0
GO,2020-02-26,0,0,0,0,,,,0.0
GO,2020-02-27,0,0,0,0,,,,0.0
GO,2020-02-28,0,0,0,0,,,,0.0
GO,2020-02-29,0,0,0,0,,,,0.0
GO,2020-03-01,0,0,0,0,,,,0.0
GO,2020-03-02,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-03,0,0,0,0,0.0,0.0,,0.0
